ID,Weight,Length,Width, Price 
263,120 ,787 ,1092 , 5.90 
264,280 ,787 ,1092 , 12.50 
265,120 ,787 ,1092 , 6.20 
266,280 ,787 ,1092 , 13.50 
267,120 ,787 ,1092 , 6.20 
268,180 ,787 ,1092 , 8.80 
269,280 ,787 ,1092 , 13.50 
270,120 ,787 ,1092 , 5.60 
271,280 ,787 ,1092 , 11.90 
272,120 ,787 ,1092 , 5.60 
273,280 ,787 ,1092 , 11.90 
274,120 ,787 ,1092 , 5.90 
275,280 ,787 ,1092 , 12.50 
276,120 ,787 ,1092 , 6.20 
277,280 ,787 ,1092 , 13.50 
278,120 ,787 ,1092 , 6.50 
279,280 ,787 ,1092 , 13.90 
280,120 ,787 ,1092 , 6.50 
281,280 ,787 ,1092 , 13.90 
282,120 ,787 ,1092 , 5.90 
283,180 ,787 ,1092 , 8.40 
284,280 ,787 ,1092 , 12.50 
285,120 ,787 ,1092 , 5.60 
286,180 ,787 ,1092 , 7.90 
287,280 ,787 ,1092 , 11.90 
288,120 ,787 ,1092 , 5.90 
289,180 ,787 ,1092 , 8.40 
290,280 ,787 ,1092 , 12.50 
291,120 ,787 ,1092 , 5.60 
292,280 ,787 ,1092 , 11.90 
293,120 ,787 ,1092 , 6.20 
294,280 ,787 ,1092 , 13.50 
295,120 ,787 ,1092 , 4.80 
296,270 ,787 ,1092 , 12.00 
297,120 ,787 ,1092 , 4.80 
298,270 ,787 ,1092 , 12.00 
299,120 ,787 ,1092 , 5.80 
300,270 ,787 ,1092 , 13.20 
301,120 ,787 ,1092 , 4.80 
302,270 ,787 ,1092 , 12.00 
303,120 ,787 ,1092 , 5.80 
304,270 ,787 ,1092 , 13.20 
305,120 ,787 ,1092 , 5.80 
306,270 ,787 ,1092 , 13.20 
307,120 ,787 ,1092 , 4.80 
308,270 ,787 ,1092 , 12.00 
309,120 ,787 ,1092 , 5.80 
310,270 ,787 ,1092 , 13.20 
311,120 ,787 ,1092 , 5.80 
312,270 ,787 ,1092 , 13.20 
313,120 ,787 ,1092 , 4.80 
314,270 ,787 ,1092 , 12.00 
315,120 ,787 ,1092 , 5.80 
316,270 ,787 ,1092 , 13.20 
317,120 ,787 ,1092 , 5.80 
318,270 ,787 ,1092 , 13.20 
319,120 ,787 ,1092 , 4.80 
320,270 ,787 ,1092 , 12.00 
321,120 ,787 ,1092 , 4.80 
322,270 ,787 ,1092 , 12.00 
323,120 ,787 ,1092 , 4.80 
324,270 ,787 ,1092 , 12.00 
325,120 ,787 ,1092 , 5.80 
326,270 ,787 ,1092 , 13.20 
327,120 ,787 ,1092 , 4.80 
328,270 ,787 ,1092 , 12.00 
329,120 ,787 ,1092 , 4.80 
330,270 ,787 ,1092 , 12.00 
331,120 ,787 ,1092 , 4.80 
332,270 ,787 ,1092 , 12.00 
333,120 ,787 ,1092 , 5.80 
334,270 ,787 ,1092 , 13.20 
335,120 ,787 ,1092 , 5.80 
336,270 ,787 ,1092 , 13.20 
337,120 ,787 ,1092 , 4.80 
338,270 ,787 ,1092 , 12.00 
339,120 ,787 ,1092 , 5.80 
340,270 ,787 ,1092 , 13.20 
341,120 ,787 ,1092 , 5.80 
342,270 ,787 ,1092 , 13.20 
343,120 ,787 ,1092 , 4.80 
344,170 ,787 ,1092 , 7.40 
345,220 ,787 ,1092 , 9.40 
346,270 ,787 ,1092 , 12.00 
347,120 ,787 ,1092 , 4.80 
348,170 ,787 ,1092 , 7.40 
349,270 ,787 ,1092 , 12.00 
350,120 ,787 ,1092 , 5.80 
351,170 ,787 ,1092 , 8.80 
352,270 ,787 ,1092 , 13.20 
353,120 ,787 ,1092 , 4.80 
354,170 ,787 ,1092 , 7.40 
355,270 ,787 ,1092 , 12.00 
356,120 ,787 ,1092 , 5.80 
357,270 ,787 ,1092 , 13.20 
358,120 ,787 ,1092 , 5.80 
359,170 ,787 ,1092 , 8.20 
360,270 ,787 ,1092 , 13.20 
361,120 ,787 ,1092 , 5.80 
362,270 ,787 ,1092 , 13.20 
363,120 ,787 ,1092 , 5.80 
364,270 ,787 ,1092 , 13.20 
365,120 ,787 ,1092 , 5.80 
366,170 ,787 ,1092 , 8.20 
367,270 ,787 ,1092 , 13.20 
368,120 ,787 ,1092 , 5.80 
369,170 ,787 ,1092 , 8.20 
370,270 ,787 ,1092 , 13.20 
371,120 ,787 ,1092 , 5.80 
372,270 ,787 ,1092 , 13.20 
373,120 ,787 ,1092 , 5.80 
374,270 ,787 ,1092 , 13.20 
375,120 ,787 ,1092 , 4.80 
